question,answer
"What is SourceDeck?","SourceDeck is the Lead Command Center for leads, follow-up, and workflow. It gives operators one place to track leads, manage outreach, watch follow-up, and see where the work is getting stuck — so tasks and opportunities stop falling through the cracks."
"Who is SourceDeck for?","SourceDeck is built for small teams that have outgrown spreadsheets, scattered tools, and manual follow-up. That typically means founders, agencies, contractors, consultants, and service businesses that need more visibility and less friction."
"What problem does SourceDeck solve?","Most teams do not have a lead problem — they have a tracking problem. SourceDeck fixes the leaks that show up when leads live in one place, follow-up happens somewhere else, and workflow depends on memory, inboxes, or manual handoffs."
"What can I do inside SourceDeck?","Track leads, manage outreach, watch follow-up, organize workflow, spot bottlenecks, see what is moving vs. what is stalled, and know what needs attention next — all in one dashboard."
"How does SourceDeck work in one sentence?","It moves your leads, outreach, follow-up, and workflow into one surface so you can see where the business is actually slowing down and act on it."
"How do I get started?","Pick a plan on the pricing section, create your workspace, connect your integrations (Airtable, email sender, Instantly), set your lead criteria, then launch your first campaign. A first-time workspace opens blank — no sample data, no pre-installed keys."
"What does a first-time setup look like?","Four steps: (1) open the workspace, which starts blank; (2) connect integrations — Airtable PAT, email provider, Instantly key, and any optional providers; (3) define lead criteria such as NAICS codes, cities, industries, and exclusions; (4) launch your first campaign with a sender, sequence, and routing filter."
"What plans and pricing does SourceDeck offer?","SourceDeck has three tiers: Core at $79/month (Visibility), Pro at $349/month (Control), and Operator at $999/month (Revenue System). Pricing is shown live on sourcedeck.app."
"What is in the Core plan?","Core is $79/month. It covers tracking leads, tasks, and workflow in one system, identifying bottlenecks and delays, and basic operational reporting. Designed for operators who need to see what is actually happening."
"What is in the Pro plan?","Pro is $349/month. It includes everything in Core plus real-time bottleneck alerts, automated workflow handoffs, and the full operational visibility dashboard. Designed for teams losing revenue to workflow breakdown."
"What is in the Operator plan?","Operator is $999/month. It includes everything in Pro plus multi-user workflow orchestration, advanced reporting and performance tracking, and is built for scaling teams. Operator is proposal-led — you request it through the quote flow rather than self-checkout."
"Which plan should I choose?","Start with Core if you need visibility into what is actually happening. Choose Pro if workflow breakdown is costing you revenue and you need alerts and automated handoffs. Choose Operator if you are a scaling team that treats revenue loss as unacceptable."
"Is there a free trial?","Pricing and sign-up run through the plan pages on sourcedeck.app. Any trial, discount, or starter offering will be shown directly on the pricing page at the moment you check out."
